date,open,highest,lowest,close,volume
2024-01-05 19:19:00+00:00,180.58,181.19,180.555,180.84,553153
2024-01-05 19:20:00+00:00,180.84,181.17,180.66,180.993,358288
2024-01-05 19:21:00+00:00,181.01,181.03,180.61,180.98,381622
2024-01-05 19:22:00+00:00,180.99,181.13,180.76,180.865,382448
2024-01-05 19:23:00+00:00,180.865,181.06,180.61,180.805,302188
2024-01-05 19:24:00+00:00,180.81,181.01,180.68,180.9674,245635
2024-01-05 19:25:00+00:00,180.9713,181.0399,180.74,180.91,246578
2024-01-05 19:26:00+00:00,180.915,181.3,180.89,181.26,333619
2024-01-05 19:27:00+00:00,181.26,181.28,180.97,181.0318,234880
2024-01-05 19:28:00+00:00,181.0393,181.04,180.82,180.95,229113
2024-01-05 19:29:00+00:00,180.9499,181.18,180.93,181.12,181954
2024-01-05 19:30:00+00:00,181.11,181.21,181.08,181.21,153457
2024-01-05 19:31:00+00:00,181.21,181.35,181.08,181.12,267572
2024-01-05 19:32:00+00:00,181.11,181.16,181.01,181.1,158267
2024-01-05 19:33:00+00:00,181.09,181.23,181.09,181.1816,112823
2024-01-05 19:34:00+00:00,181.18,181.31,181.175,181.26,113228
2024-01-05 19:35:00+00:00,181.2648,181.39,181.17,181.22,264036
2024-01-05 19:36:00+00:00,181.22,181.38,181.2,181.2901,125522
2024-01-05 19:37:00+00:00,181.29,181.34,181.13,181.17,141922
2024-01-05 19:38:00+00:00,181.16,181.27,181.14,181.1631,98566
2024-01-05 19:39:00+00:00,181.1599,181.21,181.05,181.075,288292
2024-01-05 19:40:00+00:00,181.06,181.08,180.92,180.955,168418
2024-01-05 19:41:00+00:00,180.96,181.0267,180.8896,180.9849,147622
2024-01-05 19:42:00+00:00,181,181.12,180.98,181.02,116218
2024-01-05 19:43:00+00:00,181.02,181.0816,181,181.08,101936
2024-01-05 19:44:00+00:00,181.085,181.11,181.02,181.09,86173
2024-01-05 19:45:00+00:00,181.09,181.1,180.97,180.98,99045
2024-01-05 19:46:00+00:00,180.9714,181.07,180.95,181.02,101052
2024-01-05 19:47:00+00:00,181.02,181.14,180.94,180.94,113338
2024-01-05 19:48:00+00:00,180.9488,180.98,180.8337,180.85,123328
2024-01-05 19:49:00+00:00,180.852,180.95,180.84,180.89,87306
2024-01-05 19:50:00+00:00,180.89,180.93,180.8,180.8,83322
2024-01-05 19:51:00+00:00,180.8093,180.8093,180.6,180.6501,164963
2024-01-05 19:52:00+00:00,180.66,180.75,180.66,180.71,117037
2024-01-05 19:53:00+00:00,180.72,180.77,180.67,180.6945,107239
2024-01-05 19:54:00+00:00,180.685,180.7,180.61,180.65,140720
2024-01-05 19:55:00+00:00,180.65,180.73,180.6,180.64,135332
2024-01-05 19:56:00+00:00,180.64,180.69,180.61,180.6784,120101
2024-01-05 19:57:00+00:00,180.67,180.675,180.5,180.505,131759
2024-01-05 19:58:00+00:00,180.51,180.6,180.5077,180.5697,93486
2024-01-05 19:59:00+00:00,180.57,180.57,180.4701,180.485,131662
2024-01-05 20:00:00+00:00,180.49,180.5,180.46,180.48,158287
2024-01-05 20:01:00+00:00,180.4799,180.55,180.43,180.465,170631
2024-01-05 20:02:00+00:00,180.465,180.4876,180.39,180.475,160849
2024-01-05 20:03:00+00:00,180.475,180.5,180.3,180.315,294192
2024-01-05 20:04:00+00:00,180.31,180.37,180.27,180.3,166270
2024-01-05 20:05:00+00:00,180.28,180.47,180.2701,180.47,151396
2024-01-05 20:06:00+00:00,180.475,180.52,180.4001,180.5,112851
2024-01-05 20:07:00+00:00,180.4984,180.53,180.365,180.375,115279
2024-01-05 20:08:00+00:00,180.3701,180.44,180.36,180.4117,68866
2024-01-05 20:09:00+00:00,180.415,180.48,180.395,180.395,94169
2024-01-05 20:10:00+00:00,180.395,180.5195,180.385,180.505,115299
2024-01-05 20:11:00+00:00,180.51,180.525,180.44,180.485,99828
2024-01-05 20:12:00+00:00,180.48,180.55,180.48,180.535,100673
2024-01-05 20:13:00+00:00,180.52,180.58,180.47,180.54,124174
2024-01-05 20:14:00+00:00,180.5301,180.535,180.43,180.445,105392
2024-01-05 20:15:00+00:00,180.44,180.458,180.32,180.34,157104
2024-01-05 20:16:00+00:00,180.34,180.4299,180.33,180.3932,76808
2024-01-05 20:17:00+00:00,180.39,180.39,180.315,180.345,107901
2024-01-05 20:18:00+00:00,180.35,180.475,180.35,180.435,184126
2024-01-05 20:19:00+00:00,180.43,180.47,180.39,180.405,132810
2024-01-05 20:20:00+00:00,180.405,180.45,180.36,180.36,84270
2024-01-05 20:21:00+00:00,180.362,180.362,180.22,180.235,206981
2024-01-05 20:22:00+00:00,180.2301,180.37,180.18,180.36,197258
2024-01-05 20:23:00+00:00,180.345,180.38,180.3,180.365,62990
2024-01-05 20:24:00+00:00,180.37,180.3702,180.32,180.365,78103
2024-01-05 20:25:00+00:00,180.365,180.38,180.29,180.345,82941
2024-01-05 20:26:00+00:00,180.34,180.38,180.33,180.35,94065
2024-01-05 20:27:00+00:00,180.35,180.405,180.29,180.3,96282
2024-01-05 20:28:00+00:00,180.3,180.335,180.22,180.285,118031
2024-01-05 20:29:00+00:00,180.285,180.31,180.17,180.28,181526
2024-01-05 20:30:00+00:00,180.2799,180.34,180.26,180.3201,161172
2024-01-05 20:31:00+00:00,180.32,180.3799,180.27,180.375,146236
2024-01-05 20:32:00+00:00,180.37,180.405,180.25,180.31,182056
2024-01-05 20:33:00+00:00,180.32,180.34,180.2381,180.31,163053
2024-01-05 20:34:00+00:00,180.31,180.425,180.3,180.4119,109735
2024-01-05 20:35:00+00:00,180.42,180.53,180.415,180.53,203554
2024-01-05 20:36:00+00:00,180.525,180.54,180.45,180.495,111959
